5,5,5,5,5,90,90,90,90,90,36000
3,3,3,3,3,90,90,90,90,90,60
2,2,2,2,3,90,90,90,90,90,60
2,2,2,2,2,90,90,90,90,90,60
1,2,2,2,2,90,90,90,90,90,60
0,2,2,2,2,90,90,90,90,90,60
0,1,2,2,2,90,90,90,90,90,60
0,0,2,2,2,90,90,90,90,90,60
0,0,1,2,2,90,90,90,90,90,50
0,0,0,2,2,90,90,90,90,90,45
0,0,0,1,2,90,90,90,90,90,45
0,0,0,0,1.9,90,90,90,90,90,40
0,0,0,0,1.8,90,90,90,90,90,30
0,0,0,0,1.8,90,90,90,90,90,30
0,0,0,0,1.8,90,80,90,90,90,30
0,0,0,0,1.8,90,70,90,90,90,30
0,0,0,0,1.8,90,60,90,90,90,30
0,0,0,0,1.8,90,50,90,90,90,30
0,0,0,0,1.8,90,40,90,90,90,30
0,0,0,0,1.8,90,30,90,90,90,30
0,0,0,0,1.8,90,20,90,90,90,30
0,0,0,0,1.8,90,10,90,90,90,30
0,0,0,0,1.8,90,0,90,90,90,30
0,0,0,0,1.8,90,0,90,90,80,30
0,0,0,0,1.8,90,0,90,90,70,30
0,0,0,0,1.8,90,0,90,90,60,30
0,0,0,0,1.8,90,0,90,90,50,30
0,0,0,0,1.8,90,0,90,90,40,30
0,0,0,0,1.8,90,0,90,90,30,30
0,0,0,0,1.8,90,0,90,90,20,30
0,0,0,0,1.8,90,0,90,90,10,30
0,0,0,0,1.8,90,0,90,90,0,30
0,0,0,0,1.8,90,0,80,90,0,30
0,0,0,0,1.8,90,0,70,90,0,30
0,0,0,0,1.8,90,0,60,90,0,30
0,0,0,0,1.8,90,0,50,90,0,30
0,0,0,0,1.8,90,0,40,90,0,30
0,0,0,0,1.8,90,0,30,90,0,30
0,0,0,0,1.8,90,0,20,90,0,30
0,0,0,0,1.8,90,0,10,90,0,30
0,0,0,0,1.8,90,0,0,90,0,30
0,0,0,0,1.8,90,0,0,80,0,30
0,0,0,0,1.8,90,0,0,70,0,30
0,0,0,0,1.8,90,0,0,60,0,30
0,0,0,0,1.8,90,0,0,50,0,30
0,0,0,0,1.8,90,0,0,40,0,30
0,0,0,0,1.8,90,0,0,30,0,30
0,0,0,0,1.8,90,0,0,20,0,30
0,0,0,0,1.8,90,0,0,10,0,30
0,0,0,0,1.8,90,0,0,0,0,5
